epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,139.265,0.27929,0.93312,1,0.21835,0.00332853,0.00332853,0.00332853
2,263.519,0.16582,0.89784,1,0.89507,0.00659591,0.00659591,0.00659591
3,387.586,0.16571,0.88831,1,0.45548,0.00979729,0.00979729,0.00979729
4,528.419,0.19345,0.88225,1,0.45786,0.009703,0.009703,0.009703
5,669.804,0.12876,0.88723,1,0.47807,0.009604,0.009604,0.009604
6,806.328,0.10162,0.87944,1,0.68471,0.009505,0.009505,0.009505
7,945.858,0.07808,0.87532,1,1.04063,0.009406,0.009406,0.009406
8,1085.36,0.06369,0.86364,1,0.55929,0.009307,0.009307,0.009307
9,1225.34,0.05971,0.8855,1,0.56604,0.009208,0.009208,0.009208
10,1362.01,0.04923,0.8658,1,0.69371,0.009109,0.009109,0.009109
11,1493.17,0.04316,0.87143,1,0.89526,0.00901,0.00901,0.00901
12,1623.92,0.0426,0.8671,1,1.09099,0.008911,0.008911,0.008911
13,1759.83,0.03551,0.86039,1,1.03709,0.008812,0.008812,0.008812
14,1894.21,0.0333,0.8697,1,1.16445,0.008713,0.008713,0.008713
15,2021.26,0.03207,0.88918,1,0.94574,0.008614,0.008614,0.008614
16,2146.41,0.02771,0.88398,1,0.93162,0.008515,0.008515,0.008515
17,2278.82,0.02289,0.8645,1,1.13021,0.008416,0.008416,0.008416
18,2408.91,0.02385,0.87835,1,0.99142,0.008317,0.008317,0.008317
19,2537.39,0.02281,0.87987,1,1.09232,0.008218,0.008218,0.008218
20,2664.51,0.02387,0.86558,1,1.39123,0.008119,0.008119,0.008119
21,2797.8,0.02342,0.86126,1,1.49334,0.00802,0.00802,0.00802
22,2925.1,0.02386,0.88463,1,1.28543,0.007921,0.007921,0.007921
23,3061.12,0.02034,0.8855,1,1.34595,0.007822,0.007822,0.007822
24,3189.61,0.01706,0.86558,1,1.39967,0.007723,0.007723,0.007723
25,3318.78,0.02292,0.84697,1,1.42966,0.007624,0.007624,0.007624
26,3457.4,0.01348,0.86645,1,1.51131,0.007525,0.007525,0.007525
27,3594.64,0.01256,0.87641,1,1.36031,0.007426,0.007426,0.007426
28,3720.26,0.01233,0.87619,1,1.63329,0.007327,0.007327,0.007327
29,3846.73,0.01946,0.87511,1,1.49521,0.007228,0.007228,0.007228
30,3977.61,0.01842,0.86342,1,1.51609,0.007129,0.007129,0.007129
31,4106.8,0.01083,0.87078,1,1.73179,0.00703,0.00703,0.00703
32,4233.38,0.01363,0.87511,1,1.43467,0.006931,0.006931,0.006931
