epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
33,4359.45,0.01274,0.87446,1,1.44161,0.006832,0.006832,0.006832
34,4487.71,0.0186,0.86364,1,1.59823,0.006733,0.006733,0.006733
35,4614.88,0.01158,0.87771,1,1.38692,0.006634,0.006634,0.006634
36,4746.08,0.01225,0.86883,1,1.46623,0.006535,0.006535,0.006535
37,4873.52,0.01351,0.8671,1,1.61741,0.006436,0.006436,0.006436
38,5011.53,0.01274,0.88095,1,1.57215,0.006337,0.006337,0.006337
39,5146.52,0.00848,0.87316,1,1.61783,0.006238,0.006238,0.006238
40,5277.98,0.0075,0.89048,1,1.33717,0.006139,0.006139,0.006139
41,5410.19,0.01234,0.8816,1,1.44981,0.00604,0.00604,0.00604
42,5536.39,0.00949,0.87554,1,1.369,0.005941,0.005941,0.005941
43,5667.14,0.00948,0.88009,1,1.247,0.005842,0.005842,0.005842
44,5799.57,0.00819,0.87619,1,1.63087,0.005743,0.005743,0.005743
45,5927.99,0.00581,0.87294,1,1.91918,0.005644,0.005644,0.005644
46,6056.21,0.00473,0.87056,1,1.85857,0.005545,0.005545,0.005545
47,6191.13,0.00735,0.88074,1,1.83934,0.005446,0.005446,0.005446
48,6328.74,0.00709,0.87987,1,1.78259,0.005347,0.005347,0.005347
49,6462.88,0.0096,0.88052,1,1.67133,0.005248,0.005248,0.005248
50,6596.43,0.00647,0.88074,1,1.67625,0.005149,0.005149,0.005149
51,6725.84,0.00564,0.87338,1,1.92368,0.00505,0.00505,0.00505
52,6858.41,0.00733,0.87078,1,1.88822,0.004951,0.004951,0.004951
53,6988.41,0.00769,0.87814,1,1.67516,0.004852,0.004852,0.004852
54,7118.48,0.00729,0.87511,1,1.78122,0.004753,0.004753,0.004753
55,7247.57,0.00579,0.87165,1,1.85322,0.004654,0.004654,0.004654
56,7374.64,0.0047,0.86558,1,1.94995,0.004555,0.004555,0.004555
57,7502.57,0.00659,0.86797,1,1.98521,0.004456,0.004456,0.004456
58,7631.91,0.00948,0.8671,1,2.02118,0.004357,0.004357,0.004357
59,7770.1,0.00686,0.86991,1,1.95963,0.004258,0.004258,0.004258
60,7913.78,0.0043,0.87641,1,1.8488,0.004159,0.004159,0.004159
61,8046.4,0.00718,0.87532,1,1.81272,0.00406,0.00406,0.00406
62,8192.62,0.00365,0.87684,1,1.81378,0.003961,0.003961,0.003961
63,8330.52,0.00481,0.87662,1,1.89224,0.003862,0.003862,0.003862
64,8473.79,0.00287,0.87468,1,1.94764,0.003763,0.003763,0.003763
65,8610.7,0.00323,0.87511,1,1.99084,0.003664,0.003664,0.003664
66,8747.74,0.00195,0.87424,1,2.0579,0.003565,0.003565,0.003565
67,8879.18,0.00365,0.87294,1,2.08277,0.003466,0.003466,0.003466
68,9012.93,0.00384,0.87316,1,2.10416,0.003367,0.003367,0.003367
69,9152.64,0.0024,0.87338,1,2.09227,0.003268,0.003268,0.003268
70,9285.62,0.00441,0.87186,1,2.07242,0.003169,0.003169,0.003169
71,9424.59,0.0026,0.87208,1,2.11174,0.00307,0.00307,0.00307
72,9566.27,0.00199,0.87381,1,2.12922,0.002971,0.002971,0.002971
73,9703.33,0.00323,0.87121,1,2.19058,0.002872,0.002872,0.002872
74,9856.01,0.00172,0.87121,1,2.20198,0.002773,0.002773,0.002773
75,10010,0.00316,0.87165,1,2.2077,0.002674,0.002674,0.002674
76,10154.8,0.00314,0.87078,1,2.21884,0.002575,0.002575,0.002575
77,10294.4,0.00181,0.86883,1,2.22176,0.002476,0.002476,0.002476
78,10431.9,0.00302,0.8671,1,2.27616,0.002377,0.002377,0.002377
79,10569.6,0.0016,0.86645,1,2.32405,0.002278,0.002278,0.002278
80,10708.8,0.00141,0.86667,1,2.3375,0.002179,0.002179,0.002179
81,10863.1,0.00095,0.86645,1,2.32522,0.00208,0.00208,0.00208
82,11006.5,0.00223,0.86645,1,2.34557,0.001981,0.001981,0.001981
83,11151.6,0.00164,0.86688,1,2.33018,0.001882,0.001882,0.001882
84,11296.4,0.00181,0.86688,1,2.31062,0.001783,0.001783,0.001783
85,11435.1,0.00154,0.86732,1,2.27359,0.001684,0.001684,0.001684
86,11568.5,0.00187,0.86797,1,2.27419,0.001585,0.001585,0.001585
87,11704.2,0.00071,0.86797,1,2.23716,0.001486,0.001486,0.001486
88,11843.8,0.00097,0.8671,1,2.21766,0.001387,0.001387,0.001387
89,11978.8,0.00093,0.86732,1,2.20691,0.001288,0.001288,0.001288
90,12116,0.00111,0.86797,1,2.20847,0.001189,0.001189,0.001189
91,12274.3,0.00158,0.86818,1,2.18814,0.00109,0.00109,0.00109
92,12410.9,0.0007,0.8684,1,2.19216,0.000991,0.000991,0.000991
93,12554.8,0.00061,0.86861,1,2.20692,0.000892,0.000892,0.000892
94,12704.5,0.00088,0.86905,1,2.18899,0.000793,0.000793,0.000793
95,12847.2,0.00092,0.86883,1,2.18817,0.000694,0.000694,0.000694
96,12997.6,0.00075,0.86905,1,2.17988,0.000595,0.000595,0.000595
97,13142,0.00098,0.86905,1,2.17529,0.000496,0.000496,0.000496
98,13297.5,0.00137,0.86883,1,2.16873,0.000397,0.000397,0.000397
99,13457.5,0.00102,0.86905,1,2.16081,0.000298,0.000298,0.000298
100,13610.8,0.00189,0.86948,1,2.15753,0.000199,0.000199,0.000199
