epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
81,10561.7,0.26558,0.80195,1,0.79162,0.00208,0.00208,0.00208
82,10690.4,0.26508,0.80152,1,0.79159,0.001981,0.001981,0.001981
83,10817.8,0.25855,0.80216,1,0.80113,0.001882,0.001882,0.001882
84,10944.4,0.25811,0.8013,1,0.80904,0.001783,0.001783,0.001783
85,11067.6,0.24383,0.80195,1,0.81226,0.001684,0.001684,0.001684
86,11194.3,0.25275,0.8026,1,0.82145,0.001585,0.001585,0.001585
87,11316.3,0.24859,0.8026,1,0.81862,0.001486,0.001486,0.001486
88,11436.5,0.24568,0.80195,1,0.82466,0.001387,0.001387,0.001387
89,11560,0.23702,0.80195,1,0.83033,0.001288,0.001288,0.001288
90,11686.7,0.22801,0.80108,1,0.8325,0.001189,0.001189,0.001189
91,11821.4,0.23332,0.80108,1,0.84255,0.00109,0.00109,0.00109
92,11943.4,0.22478,0.80195,1,0.8383,0.000991,0.000991,0.000991
93,12069,0.22324,0.8026,1,0.83683,0.000892,0.000892,0.000892
94,12191.5,0.22211,0.80216,1,0.8475,0.000793,0.000793,0.000793
95,12317.1,0.21493,0.80238,1,0.84413,0.000694,0.000694,0.000694
96,12442,0.21071,0.80216,1,0.84875,0.000595,0.000595,0.000595
97,12571.5,0.20557,0.80108,1,0.8555,0.000496,0.000496,0.000496
98,12697.8,0.20169,0.80087,1,0.85574,0.000397,0.000397,0.000397
99,12826.7,0.20156,0.80108,1,0.86228,0.000298,0.000298,0.000298
100,12955.6,0.2053,0.80065,1,0.86992,0.000199,0.000199,0.000199
